Source:,C:\Users\natha\OneDrive\Documents\PCB Designs\RPCM1 IO Board\RPCM1 IO Board.kicad_sch,,,,,,,,
Date:,1/9/2023 3:18:24 PM,,,,,,,,
Tool:,Eeschema (6.0.9),,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,,,
Component Count:,60,,,,,,,,
Ref,Qnty,Cmp name,DK Name,Description,Datasheet,Manufacturer,DK Link,Price (Single),Price (Total)
"C1, C2, C6, C12, C14, ",5,0.1UF-0402-16V-10%,04026D104KAT2A,0.1 µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric),https://datasheets.kyocera-avx.com/cx5r.pdf,KYOCERA AVX,https://www.digikey.com/en/products/detail/kyocera-avx/04026D104KAT2A/1597649,$0.10,$0.50
"C3, C9, C10, C15, C16, C17, ",6,EMK316BBJ476ML-T,CL31A476MQHNNWE,CAP CER 0.1UF 6.3V X5R 0402,https://www.samsungsem.com/kr/support/product-search/mlcc/CL31A476MQHNNWE.jsp,Samsung Electro-Mechanics,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31A476MQHNNWE/3888722,$0.41,$2.46
"C4, C5, C7, C8, ",4,10UF-0805-10V-10%,CL21A106KOQNNNE,CAP CER 10UF 16V X5R 0805,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21A106KOQNNNE_Spec.pdf,Samsung Electro-Mechanics,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNE/3886754,$0.10,$0.40
"C11, ",1,1.0UF-0402-16V-10%,CC0402KRX5R5BB105,CAP CER 1UF 6.3V X5R 0402,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_26.pdf,YAGEO,https://www.digikey.com/en/products/detail/yageo/CC0402KRX5R5BB105/2833603,$0.11,$0.11
"C13, ",1,4.7UF-1206-16V-_+80_-20%_,CL10A475KP8NNNC,CAP CER 4.7UF 10V X5R 0603,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10A475KP8NNNC_Spec.pdf,Samsung Electro-Mechanics,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A475KP8NNNC/3886702,$0.10,$0.10
"D1, ",1,LED-GREEN0603,LTST-C191KGKT,LED GREEN CLEAR SMD,https://optoelectronics.liteon.com/upload/download/DS22-2000-228/LTST-C191KGKT.PDF,Lite-On Inc.,https://www.digikey.com/en/products/detail/liteon/LTST-C191KGKT/386835,$0.26,$0.26
"D2, ",1,LED-RED0603,SML-D12U8WT86,Red 620nm LED Indication - Discrete 2.2V 0603 (1608 Metric),https://fscdn.rohm.com/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf,Rohm Semiconductor,https://www.digikey.com/en/products/detail/rohm-semiconductor/SML-D12U8WT86/1641799,$0.37,$0.37
"F1, ",1,MF-MSMF200-2,MF-MSMF200-2,"Polymeric PTC Resettable Fuse 8V 2 A Ih Surface Mount 1812 (4532 Metric), Concave",https://www.bourns.com/docs/product-datasheets/mf-msmf.pdf,Bourns Inc.,https://www.digikey.com/en/products/detail/bourns-inc/MF-MSMF200-2/662824,$0.61,$0.61
"H1, H2, H3, H4, ",4,MountingHole,x,Grounded Mounting Hole,x,x,x,x,x
"J1, ",1,USB4085-GF-A,USB4085-GF-A,"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Through Hole, Right Angle",https://gct.co/files/drawings/usb4085.pdf,GCT,https://www.digikey.com/en/products/detail/gct/USB4085-GF-A/9859662,$0.94,$0.94
